Date,Region,Cases_day_before,Current_cases,Cases_last_24h,Hospital_all_patients,Hospital_only_COVID-19,Hospital_serious,Deceased
2020-03-16,Altenburger Land,,3,0,0,0,0,0
2020-03-16,Eichsfeld,,3,0,0,0,0,0
2020-03-16,Eisenach,,1,0,0,0,0,0
2020-03-16,Erfurt,,8,0,2,0,0,1
2020-03-16,Gera,,1,0,0,0,0,0
2020-03-16,Gotha,,1,0,0,0,0,0
2020-03-16,Greiz,,3,2,1,0,0,0
2020-03-16,Hildburghausen,,0,0,0,0,0,0
2020-03-16,Ilm-Kreis,,1,0,0,0,0,0
2020-03-16,Jena,,8,0,0,0,0,0
2020-03-16,Kyffhäuserkreis,,7,1,1,0,0,0
2020-03-16,Nordhausen,,2,0,0,0,0,0
2020-03-16,Saale-Holzland-Kreis,,3,0,0,0,0,0
2020-03-16,Saale-Orla-Kreis,,3,0,1,0,0,0
2020-03-16,Saalfeld-Rudolstadt,,5,0,0,0,0,0
2020-03-16,Schmalkalden-Meiningen,,2,0,0,0,0,0
2020-03-16,Sömmerda,,0,0,0,0,0,0
2020-03-16,Sonneberg,,0,0,0,0,0,0
2020-03-16,Suhl,,1,0,0,0,0,0
2020-03-16,Unstrut-Hainich-Kreis,,0,0,0,0,0,0
2020-03-16,Wartburgkreis,,0,0,0,0,0,0
2020-03-16,Weimar,,2,1,0,0,0,0
2020-03-16,Weimarer Land,,1,0,0,0,0,0
2020-03-16,Summe:,,55,4,5,0,0,1
2020-03-17,Altenburger Land,,4,1,1,0,0,0
2020-03-17,Eichsfeld,,3,0,0,0,0,0
2020-03-17,Eisenach,,1,0,0,0,0,0
2020-03-17,Erfurt,,14,6,2,0,0,1
2020-03-17,Gera,,2,1,0,0,0,0
2020-03-17,Gotha,,1,0,0,0,0,0
2020-03-17,Greiz,,3,0,1,0,0,0
2020-03-17,Hildburghausen,,0,0,0,0,0,0
2020-03-17,Ilm-Kreis,,1,0,0,0,0,0
2020-03-17,Jena,,8,0,0,0,0,0
2020-03-17,Kyffhäuserkreis,,8,1,1,0,0,0
2020-03-17,Nordhausen,,2,0,0,0,0,0
2020-03-17,Saale-Holzland-Kreis,,3,0,0,0,0,0
2020-03-17,Saale-Orla-Kreis,,3,0,1,0,0,0
2020-03-17,Saalfeld-Rudolstadt,,5,0,0,0,0,0
